"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.19555823577426e-06,7,104,14.5289368650218,"Path:hsa04625 C-type lectin receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04625 "," NLRP3  IL6  JUN  PIK3R1  MAPK8  PTGS2  RELA"
1.22059243690036e-06,6,65,19.9253991291727,"Path:hsa04927 Cortisol synthesis and secretion","http://www.genome.jp/kegg-bin/show_pathway?hsa04927 "," CREB1  GNAQ  PLCB3  POMC  PRKACB  PRKACG"
1.58592199838765e-06,6,68,19.0463374028857,"Path:hsa00830 Retinol metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00830 "," CYP1A2  CYP2A6  CYP2B6  CYP2C9  CYP3A4  ALDH1A1"
1.59090958054029e-06,5,37,29.1700662927078,"Path:hsa05143 African trypanosomiasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05143 "," GNAQ  IL6  PLCB3  PRKCA  PRKCB"
1.91267314180147e-06,7,112,13.4911556603774,"Path:hsa05145 Toxoplasmosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05145 "," ITGB1  JAK1  JAK2  MAPK8  RELA  STAT3  CASP3"
2.12093541407058e-06,7,114,13.2544687189672,"Path:hsa04670 Leukocyte transendothelial migration","http://www.genome.jp/kegg-bin/show_pathway?hsa04670 "," CTNNB1  ITGB1  PIK3R1  PRKCA  PRKCB  RAP1B  ACTB"
2.12093541407058e-06,7,114,13.2544687189672,"Path:hsa04724 Glutamatergic synapse","http://www.genome.jp/kegg-bin/show_pathway?hsa04724 "," GNAQ  GRIN2A  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB"
2.14024378058145e-06,6,72,17.9882075471698,"Path:hsa04137 Mitophagy-animal","http://www.genome.jp/kegg-bin/show_pathway?hsa04137 "," FOXO3  JUN  MAPK8  RELA  TP53  UBC"
2.70570663243122e-06,6,75,17.268679245283,"Path:hsa05214 Glioma","http://www.genome.jp/kegg-bin/show_pathway?hsa05214 "," EGFR  SHC2  PIK3R1  PRKCA  PRKCB  TP53"
2.90342173663287e-06,6,76,17.0414597815293,"Path:hsa05220 Chronic myeloid leukemia","http://www.genome.jp/kegg-bin/show_pathway?hsa05220 "," ABL1  SHC2  PIK3R1  RELA  STAT5B  TP53"
3.44689007266079e-06,11,384,6.18344634433962,"Path:hsa05010 Alzheimer disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05010 "," CTNNB1  GNAQ  GRIN2A  IL6  PIK3R1  PLCB3  MAPK8  PTGS2  RELA  TRAF2  CASP3"
5.05910350211814e-06,5,47,22.963669209153,"Path:hsa04973 Carbohydrate digestion and absorption","http://www.genome.jp/kegg-bin/show_pathway?hsa04973 "," HK2  HK3  PIK3R1  PLCB3  PRKCB"
5.98078163763804e-06,7,134,11.2761898056885,"Path:hsa04270 Vascular smooth muscle contraction","http://www.genome.jp/kegg-bin/show_pathway?hsa04270 "," GNAQ  PLCB3  PPP1CA  PRKACB  PRKACG  PRKCA  PRKCB"
8.11177986358271e-06,6,91,14.2324279494091,"Path:hsa04970 Salivary secretion","http://www.genome.jp/kegg-bin/show_pathway?hsa04970 "," GNAQ  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB"
9.9672383787974e-06,9,273,7.11621397470454,"Path:hsa05020 Prion disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05020 "," CREB1  FYN  GRIN2A  IL6  PIK3R1  PRKACB  PRKACG  MAPK8  CASP3"
1.17972034085765e-05,7,149,10.1410029124984,"Path:hsa04261 Adrenergic signaling in cardiomyocytes","http://www.genome.jp/kegg-bin/show_pathway?hsa04261 "," CREB1  GNAQ  PLCB3  PPP1CA  PRKACB  PRKACG  PRKCA"
1.39681560150102e-05,5,58,18.6084905660377,"Path:hsa04923 Regulation of lipolysis in adipocytes","http://www.genome.jp/kegg-bin/show_pathway?hsa04923 "," PIK3R1  PRKACB  PRKACG  PTGS2  TSHR"
1.5092088543056e-05,5,59,18.2930924208507,"Path:hsa04370 VEGF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04370 "," SHC2  PIK3R1  PRKCA  PRKCB  PTGS2"
1.51440352488731e-05,6,102,12.6975582685905,"Path:hsa04972 Pancreatic secretion","http://www.genome.jp/kegg-bin/show_pathway?hsa04972 "," GNAQ  PLCB3  PRKCA  PRKCB  RAP1B  CD38"
1.57868951380964e-05,6,103,12.5742810038469,"Path:hsa04620 Toll-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04620 "," FOS  IL6  JUN  PIK3R1  MAPK8  RELA"
1.57868951380964e-05,6,103,12.5742810038469,"Path:hsa04660 T cell receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04660 "," FOS  FYN  JUN  PIK3R1  MAPK8  RELA"
1.65699792994738e-05,6,104,12.4533744557329,"Path:hsa04064 NF-kappa B signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04064 "," PARP1  ATM  PRKCB  PTGS2  RELA  TRAF2"
1.71624944521438e-05,5,61,17.6933188988556,"Path:hsa00590 Arachidonic acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00590 "," PTGES3  CYP2B6  CYP2C9  EPHX2  PTGS2"
2.15993885963879e-05,5,64,16.8639445754717,"Path:hsa04929 GnRH secretion","http://www.genome.jp/kegg-bin/show_pathway?hsa04929 "," GNAQ  PIK3R1  PLCB3  PRKCA  PRKCB"
2.29852449165913e-05,9,306,6.34877913429523,"Path:hsa05016 Huntington disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05016 "," CREB1  CREBBP  EP300  GNAQ  PLCB3  MAPK8  TP53  TRAF2  CASP3"
2.29852449165913e-05,5,65,16.6044992743106,"Path:hsa05321 Inflammatory bowel disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05321 "," IL6  JUN  RELA  STAT3  STAT4"
2.82916916959753e-05,6,115,11.2621821164889,"Path:hsa01200 Carbon metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa01200 "," G6PD  HK2  HK3  PSPH  SHMT2  TALDO1"
2.82916916959753e-05,5,68,15.8719478357381,"Path:hsa05211 Renal cell carcinoma","http://www.genome.jp/kegg-bin/show_pathway?hsa05211 "," CREBBP  EP300  JUN  PIK3R1  RAP1B"
3.01806701101033e-05,5,69,15.6419196062346,"Path:hsa04924 Renin secretion","http://www.genome.jp/kegg-bin/show_pathway?hsa04924 "," CREB1  GNAQ  PLCB3  PRKACB  PRKACG"
3.21614175225809e-05,5,70,15.4184636118598,"Path:hsa05120 Epithelial cell signaling in Helicobacter pylori infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05120 "," EGFR  JUN  MAPK8  RELA  CASP3"
4.65062725009248e-05,6,126,10.2789757412399,"Path:hsa04110 Cell cycle","http://www.genome.jp/kegg-bin/show_pathway?hsa04110 "," CREBBP  EP300  ABL1  ATM  TP53  YWHAG"
5.04801187201782e-05,5,77,14.0167851016908,"Path:hsa05100 Bacterial invasion of epithelial cells","http://www.genome.jp/kegg-bin/show_pathway?hsa05100 "," CTNNB1  SHC2  ITGB1  PIK3R1  ACTB"
5.47306997573224e-05,6,130,9.96269956458636,"Path:hsa04650 Natural killer cell mediated cytotoxicity","http://www.genome.jp/kegg-bin/show_pathway?hsa04650 "," FYN  SHC2  PIK3R1  PRKCA  PRKCB  CASP3"
5.63991974008653e-05,5,79,13.6619297826606,"Path:hsa00983 Drug metabolism-other enzymes","http://www.genome.jp/kegg-bin/show_pathway?hsa00983 "," CYP2A6  CYP3A4  GSTA2  GSTM1  GSTP1"
6.3227040515489e-05,5,81,13.3245981830888,"Path:hsa04662 B cell receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04662 "," FOS  JUN  PIK3R1  PRKCB  RELA"
6.4528320898184e-05,4,41,21.059364933272,"Path:hsa03440 Homologous recombination","http://www.genome.jp/kegg-bin/show_pathway?hsa03440 "," BABAM1  ATM  BRCA1  BRCC3"
7.45346870658185e-05,6,138,9.38515176374077,"Path:hsa04371 Apelin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04371 "," GNAQ  PRKAG2  PLCB3  PRKAG3  PRKACB  PRKACG"
0.000100820390926774,4,46,18.7703035274815,"Path:hsa04930 Type II diabetes mellitus","http://www.genome.jp/kegg-bin/show_pathway?hsa04930 "," HK2  HK3  PIK3R1  MAPK8"
0.000102227840963775,5,90,11.9921383647799,"Path:hsa05410 Hypertrophic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05410 "," IL6  ITGB1  PRKAG2  PRKAG3  ACTB"
0.00010727933753712,6,148,8.75101988781234,"Path:hsa04072 Phospholipase D signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04072 "," EGFR  FYN  SHC2  PIK3R1  PLCB3  PRKCA"
0.00010727933753712,6,148,8.75101988781234,"Path:hsa05226 Gastric cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05226 "," CTNNB1  EGFR  ERBB2  SHC2  PIK3R1  TP53"
0.000136725526698791,4,50,17.268679245283,"Path:hsa05110 Vibrio cholerae infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05110 "," PRKACB  PRKACG  PRKCA  ACTB"
0.000142434079697091,5,97,11.126726317837,"Path:hsa04070 Phosphatidylinositol signaling system","http://www.genome.jp/kegg-bin/show_pathway?hsa04070 "," CDIPT  PIK3R1  PLCB3  PRKCA  PRKCB"
0.000274191806351643,4,60,14.3905660377358,"Path:hsa04730 Long-term depression","http://www.genome.jp/kegg-bin/show_pathway?hsa04730 "," GNAQ  PLCB3  PRKCA  PRKCB"
