"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.01515918058081e-11,14,210,14.1240740740741,"Path:hsa04015 Rap1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04015 "," CTNNB1  EGFR  GNAQ  GRIN2A  AFDN  NRAS  PLCE1  PIK3R1  PLCG1  PRKCA  PRKCG  PRKD1  RAP1A  ACTB"
1.16434559077282e-11,10,72,29.4251543209877,"Path:hsa05223 Non-small cell lung cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05223 "," EGFR  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  BAX  STAT3  STK4  TP53"
1.52830437455922e-11,12,136,18.6936274509804,"Path:hsa04210 Apoptosis","http://www.genome.jp/kegg-bin/show_pathway?hsa04210 "," PARP1  JUN  ATM  NFKB1  NRAS  PIK3R1  MAPK8  BAX  ACTB  TP53  TRAF2  CASP3"
1.62084573077627e-11,12,137,18.5571776155718,"Path:hsa04910 Insulin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04910 "," FOXO1  MTOR  GYS1  HK1  NRAS  PRKAG2  PIK3R1  PPP1CA  PRKAG1  MAPK8  PYGB  SHC1"
2.77725097495254e-11,16,331,10.24102047667,"Path:hsa05165 Human papillomavirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05165 "," CREB1  CREBBP  CTNNB1  EGFR  EP300  FOXO1  MTOR  JAK1  ATM  NFKB1  NRAS  PIK3R1  PTGS2  BAX  TP53  CASP3"
6.17841634499593e-11,12,154,16.508658008658,"Path:hsa04921 Oxytocin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04921 "," EGFR  GNAQ  JUN  NRAS  PRKAG2  PPP1CA  PRKAG1  PRKCA  PRKCG  PTGS2  ACTB  CAMK2A"
6.32189475255064e-11,10,86,24.6350129198966,"Path:hsa05210 Colorectal cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05210 "," CTNNB1  EGFR  MTOR  JUN  NRAS  PIK3R1  MAPK8  BAX  TP53  CASP3"
6.32877815105877e-11,12,155,16.4021505376344,"Path:hsa04932 Non-alcoholic fatty liver disease","http://www.genome.jp/kegg-bin/show_pathway?hsa04932 "," CYP2E1  IL6  IL6R  JUN  NFKB1  PRKAG2  PIK3R1  PRKAG1  MAPK8  BAX  TRAF2  CASP3"
6.70272891828446e-11,11,119,19.5838001867414,"Path:hsa04071 Sphingolipid signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04071 "," FYN  GNAQ  NFKB1  NRAS  PIK3R1  PRKCA  PRKCG  MAPK8  BAX  TP53  TRAF2"
6.70272891828446e-11,16,354,9.57564344005022,"Path:hsa04151 PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04151 "," CREB1  EGFR  MTOR  GNB1  GYS1  IL6  IL6R  JAK1  JAK2  NFKB1  NRAS  PIK3R1  PRKCA  BRCA1  TP53  YWHAG"
