Prot_A;Prot_B;Renew component
PRMT5;CLNS1A;Choline
LSM10;CLNS1A;Choline
LSM10;SNRPD2;Choline
LSM10;SNRPB;Choline
LSM10;SNRPG;Choline
LSM10;SNRPE;Choline
GEMIN4;SNRPG;Choline
GEMIN4;SMN2;Choline
GEMIN4;SNRPE;Choline
GEMIN4;SNRPD2;Choline
GEMIN4;SNRPB;Choline
GEMIN4;GEMIN8;Choline
GEMIN4;STRAP;Choline
GEMIN4;SMN1;Choline
GEMIN4;DDX20;Choline
HNRNPA1;HNRNPDL;Choline
HNRNPA1;HNRNPR;Choline
HNRNPA1;HNRNPH1;Choline
HNRNPA1;HNRNPA2B1;Choline
HNRNPA1;HNRNPC;Choline
SNRPD2;GEMIN8;Choline
SNRPD2;STRAP;Choline
SNRPD2;DDX20;Choline
SNRPD2;SMN2;Choline
SNRPD2;CLNS1A;Choline
SNRPD2;SMN1;Choline
SNRPD2;SNRNP70;Choline
SNRPD2;SNRPE;Choline
SNRPD2;SNRPB;Choline
SNRPD2;SNRPG;Choline
SNRPD2;LSM4;Choline
HNRNPA2B1;HNRNPH1;Choline
SYNCRIP;HNRNPR;Choline
DDX20;SNRNP70;Choline
DDX20;SNRPG;Choline
DDX20;SNRPE;Choline
DDX20;SNRPB;Choline
DDX20;SMN2;Choline
DDX20;GEMIN8;Choline
DDX20;STRAP;Choline
DDX20;SMN1;Choline
RBMX;TRA2B;Choline
SRSF3;TRA2B;Choline
GEMIN8;SNRNP70;Choline
GEMIN8;SNRPG;Choline
GEMIN8;SMN2;Choline
GEMIN8;SNRPB;Choline
GEMIN8;SNRPE;Choline
GEMIN8;SMN1;Choline
GEMIN8;STRAP;Choline
SMN1;SNRNP70;Choline
SMN1;CLNS1A;Choline
SMN1;SMN2;Choline
SMN1;SNRPB;Choline
SMN1;SNRPG;Choline
SMN1;STRAP;Choline
SMN1;SNRPE;Choline
SMN2;CLNS1A;Choline
SMN2;SNRPB;Choline
SMN2;SNRPG;Choline
SMN2;SNRPE;Choline
SMN2;STRAP;Choline
STRAP;SNRPG;Choline
STRAP;SNRPB;Choline
STRAP;SNRPE;Choline
SNRPG;CLNS1A;Choline
SNRPG;LSM4;Choline
SNRPG;SNRNP70;Choline
SNRPG;SNRPE;Choline
SNRPG;SNRPB;Choline
SNRPE;HNRNPC;Choline
SNRPE;CLNS1A;Choline
SNRPE;LSM4;Choline
SNRPE;SNRPB;Choline
SNRPE;SNRNP70;Choline
SNRPB;HNRNPC;Choline
SNRPB;CLNS1A;Choline
SNRPB;LSM4;Choline
SNRPB;SNRNP70;Choline
LSM4;SNRNP70;Choline
GLA;MGAM2;Choline
GLA;GAA;Choline
GLA;SI;Choline
GLA;MGAM;Choline
SI;MGAM;Choline
SI;HK2;Choline
SI;HK3;Choline
SI;HK1;Choline
SI;HKDC1;Choline
SI;MGAM2;Choline
SI;GAA;Choline
SI;AMY1B;Choline
SI;AMY2B;Choline
SI;AMY2A;Choline
HK2;HKDC1;Choline
HK2;GAA;Choline
HK2;MGAM2;Choline
HK2;MGAM;Choline
HK2;HK3;Choline
HK2;HK1;Choline
HK3;GAA;Choline
HK3;MGAM2;Choline
HK3;MGAM;Choline
HK3;HKDC1;Choline
HK3;HK1;Choline
GAA;GYG1;Choline
GAA;MGAM2;Choline
GAA;HKDC1;Choline
GAA;HK1;Choline
GAA;MGAM;Choline
GAA;AMY1B;Choline
GAA;AMY2B;Choline
GAA;AMY2A;Choline
AMY1B;AMY2A;Choline
AMY1B;AMY2B;Choline
AMY1B;MGAM;Choline
AMY1B;MGAM2;Choline
HKDC1;MGAM2;Choline
HKDC1;MGAM;Choline
HKDC1;HK1;Choline
AMY2B;AMY2A;Choline
AMY2B;MGAM;Choline
AMY2B;MGAM2;Choline
MGAM2;HK1;Choline
MGAM2;MGAM;Choline
MGAM2;AMY2A;Choline
MGAM;HK1;Choline
MGAM;AMY2A;Choline
GALR3;GALR1;Choline
GALR3;GALR2;Choline
GALR3;GAL;Choline
SPX;GALR2;Choline
GAL;GALR1;Choline
GAL;GALR2;Choline
GALR1;GALR2;Choline
VAMP3;PLIN3;Choline
VAMP3;RABEPK;Choline
VAMP3;NAPA;Choline
VAMP3;STX12;Choline
VAMP3;VTI1A;Choline
VPS18;STX12;Choline
VPS18;RAB9B;Choline
VPS18;RAB9A;Choline
VPS18;VTI1A;Choline
VPS18;VPS33B;Choline
VPS18;VPS11;Choline
VPS18;VPS41;Choline
VPS18;VPS16;Choline
VPS18;VPS33A;Choline
PLIN3;RABEPK;Choline
RAB9B;VPS33A;Choline
RAB9B;VPS33B;Choline
RAB9B;VPS16;Choline
RAB9B;VPS41;Choline
RAB9B;VPS11;Choline
RAB9B;PLEKHM2;Choline
RAB9B;RAB9A;Choline
RAB9B;GCC2;Choline
NAPA;STX12;Choline
NAPA;VTI1A;Choline
NAPA;NSF;Choline
VPS33A;RAB9A;Choline
VPS33A;VTI1A;Choline
VPS33A;VPS33B;Choline
VPS33A;STX12;Choline
VPS33A;VPS16;Choline
VPS33A;VPS41;Choline
VPS33A;VPS11;Choline
GCC2;RAB9A;Choline
VPS41;STX12;Choline
VPS41;RAB9A;Choline
VPS41;VTI1A;Choline
VPS41;VPS33B;Choline
VPS41;VPS11;Choline
VPS41;VPS16;Choline
RABGGTB;CHM;Choline
RABGGTB;CHML;Choline
RABGGTB;RABGGTA;Choline
VPS33B;RAB9A;Choline
VPS33B;VTI1A;Choline
VPS33B;STX12;Choline
VPS33B;VPS16;Choline
VPS33B;VPS11;Choline
CHM;CHML;Choline
CHM;RABGGTA;Choline
CHML;RABGGTA;Choline
STX12;VPS11;Choline
STX12;VPS16;Choline
STX12;VTI1A;Choline
PLEKHM2;RAB9A;Choline
GDI2;RAB9A;Choline
GDI2;GDI1;Choline
VPS16;RAB9A;Choline
VPS16;VTI1A;Choline
VPS16;VPS11;Choline
VTI1A;VPS11;Choline
NDE1;RAB9A;Choline
HLA-A;RAB9A;Choline
HLA-A;B2M;Choline
GDI1;RAB9A;Choline
RAB9A;B2M;Choline
RAB9A;VPS11;Choline
CA5B;CA5A;Choline
FGF4;FGFR1;Choline
FGF4;FGFR2;Choline
FGF20;FGFR2;Choline
FGF20;FGFR1;Choline
FGF22;FGFR2;Choline
FGF22;FGFR1;Choline
SOS2;SHC4;Choline
SOS2;SHC2;Choline
SOS2;FGFR4;Choline
SOS2;SHC3;Choline
